time,price
1279324800,0.049510000000000005
1279411200,0.08584
1279497600,0.0808
1279584000,0.07473333333333332
1279670400,0.07921
1279756800,0.055945
1279843200,0.062283333333333336
1279929600,0.05454
1280016000,0.0505
1280102400,0.056
1280188800,0.059844444444444436
1280275200,0.0589
1280361600,0.06920000000000001
1280448000,0.06428333333333333
1280534400,0.06785
1280620800,0.0611
1280707200,0.06
1280793600,0.06
1280880000,0.05795
1280966400,0.061
1281052800,0.0621
1281139200,0.059
1281225600,0.0609
1281312000,0.071
1281398400,0.07
1281484800,0.067
1281571200,0.07
1281657600,0.0645
1281744000,0.067
1281830400,0.06529
1281916800,0.0655
1282003200,0.07
1282089600,0.068
1282176000,0.0667
1282262400,0.0655
1282348800,0.0664
1282435200,0.066
1282521600,0.06491
1282608000,0.065
1282694400,0.0648
1282780800,0.064
1282867200,0.065
1282953600,0.0646
1283040000,0.064
1283126400,0.06497
1283212800,0.06
1283299200,0.062300000000000015
1283385600,0.0631
1283472000,0.06085
1283558400,0.06238
1283644800,0.0616
1283731200,0.0616
1283817600,0.061505
1283904000,0.061495
1283990400,0.06111000000000001
1284076800,0.0618
1284163200,0.06366000000000001
1284249600,0.0615
1284336000,0.062179999999999985
1284422400,0.06199
1284508800,0.0604
1284595200,0.0618
1284681600,0.05938
1284768000,0.061
1284854400,0.0627
1284940800,0.0621
1285027200,0.06265
1285113600,0.062038
1285200000,0.06231
1285286400,0.0622
1285372800,0.06202000000000001
1285459200,0.06219
1285545600,0.0622
1285632000,0.061904999999999995
1285718400,0.06183
1285804800,0.0619
1285891200,0.06197
1285977600,0.0614
1286064000,0.06111000000000001
1286150400,0.06129
1286236800,0.0614
1286323200,0.06297666666666668
1286409600,0.067
1286496000,0.084925
1286582400,0.0938
1286668800,0.0965
1286755200,0.095
1286841600,0.0949
1286928000,0.105
1287014400,0.102
1287100800,0.105
1287187200,0.101
1287273600,0.102
1287360000,0.1024
1287446400,0.09715
1287532800,0.099
1287619200,0.107
1287705600,0.106
1287792000,0.104995
1287878400,0.11501
1287964800,0.132
1288051200,0.1503
1288137600,0.1877
1288224000,0.1731
1288310400,0.19
1288396800,0.1989
1288483200,0.1925
1288569600,0.1955
1288656000,0.1938
1288742400,0.1931
1288828800,0.23
1288915200,0.2639
1289001600,0.38
1289088000,0.34
1289174400,0.243
1289260800,0.21
1289347200,0.2362
1289433600,0.2231
1289520000,0.2682
1289606400,0.276
1289692800,0.27904
1289779200,0.2682
1289865600,0.225
1289952000,0.24736666666666665
1290038400,0.2678
1290124800,0.2752
1290211200,0.283955
1290297600,0.27675
1290384000,0.2843
1290470400,0.28295
1290556800,0.28299
1290643200,0.28
1290729600,0.2844
1290816000,0.28300000000000003
1290902400,0.2710819672131145
1290988800,0.23305
1291075200,0.2082
1291161600,0.2275
1291248000,0.255
1291334400,0.25105
1291420800,0.206
1291507200,0.195
1291593600,0.204
1291680000,0.2366
1291766400,0.2388
1291852800,0.192105
1291939200,0.20385
1292025600,0.228
1292112000,0.22
1292198400,0.2299
1292284800,0.24669
1292371200,0.24
1292457600,0.24996
1292544000,0.24
1292630400,0.241
1292716800,0.2401
1292803200,0.267
1292889600,0.24
1292976000,0.25
1293062400,0.24875250000000002
1293148800,0.248
1293235200,0.2499
1293321600,0.265
1293408000,0.265
1293494400,0.281
1293580800,0.2998
1293667200,0.3
1293753600,0.3
1293840000,0.3
1293926400,0.29997
1294012800,0.295
1294099200,0.29895
1294185600,0.29892
1294272000,0.298
1294358400,0.32
1294444800,0.3229
1294531200,0.32299999999999995
1294617600,0.32659
1294704000,0.32659
1294790400,0.3188
1294876800,0.3176
1294963200,0.4
1295049600,0.386
1295136000,0.38679
1295222400,0.3495
1295308800,0.31299
1295395200,0.31299
1295481600,0.39
1295568000,0.419905
1295654400,0.44399
1295740800,0.4424
1295827200,0.4199
1295913600,0.41
1296000000,0.41367
1296086400,0.4212
1296172800,0.446
1296259200,0.439
1296345600,0.47985
1296432000,0.5501
1296518400,0.70773
1296604800,0.716
1296691200,0.69639
1296777600,0.8109999999999999
1296864000,0.90735
1296950400,0.8968
1297036800,0.89
1297123200,0.918
1297209600,1.084495
1297296000,0.9751549999999999
1297382400,1.0700049999999999
1297468800,1.0799
1297555200,1.05
1297641600,1.0753366666666668
1297728000,1.05
1297814400,1.028624
1297900800,1.04
1297987200,0.8989
1298073600,0.94898
1298160000,0.85
1298246400,0.8345
1298332800,0.87023
1298419200,0.9
1298505600,0.993715
1298592000,0.9111
1298678400,0.958
1298764800,0.89
1298851200,0.8701
1298937600,0.92022
1299024000,0.9399
1299110400,0.93909
1299196800,0.9012
1299283200,0.9103
1299369600,0.8866299999999999
1299456000,0.88502
1299542400,0.8699899999999999
1299628800,0.86449
1299715200,0.9329
1299801600,0.88
1299888000,0.918
1299974400,0.89249
1300060800,0.8949
1300147200,0.8711200000000001
1300233600,0.8599899999999999
1300320000,0.82542
1300406400,0.81648
1300492800,0.765
1300579200,0.7410800000000001
1300665600,0.75897
1300752000,0.80901
1300838400,0.8497100000000001
1300924800,0.8668799999999999
1301011200,0.8837700000000001
1301097600,0.8552
1301184000,0.8275399999999999
1301270400,0.79898
1301356800,0.7925
1301443200,0.7897
1301529600,0.78461
1301616000,0.7741100000000001
1301702400,0.78199
1301788800,0.779
1301875200,0.68
1301961600,0.71
1302048000,0.74
1302134400,0.7538
1302220800,0.7499899999999999
1302307200,0.746584
1302393600,0.7369
1302480000,0.77
1302566400,0.86
1302652800,0.93115
1302739200,0.99936
1302825600,0.9869040000000002
1302912000,1.0499
1302998400,1.13057
1303084800,1.16199
1303171200,1.1965
1303257600,1.1421
1303344000,1.208
1303430400,1.40901
1303516800,1.665325
1303603200,1.63011
1303689600,1.57623
1303776000,1.7949
1303862400,1.9
1303948800,2.2105900000000003
1304035200,2.88
1304121600,3.5
1304208000,3.03311
1304294400,3.2
1304380800,3.3975
1304467200,3.4060900000000003
1304553600,3.333
1304640000,3.452
1304726400,3.641
1304812800,3.86585
1304899200,3.8
1304985600,5.805
1305072000,5.5
1305158400,6.363463333333333
1305244800,8.193999999999999
1305331200,7.026584285714287
1305417600,6.988455
1305504000,8
1305590400,7.20995
1305676800,6.8849912500000015
1305763200,6.88955
1305849600,5.5903616666666665
1305936000,6.132744285714287
1306022400,6.736269999999999
1306108800,7.106383999999999
1306195200,7.42
1306281600,8.409413571428571
1306368000,8.77355
1306454400,8.5002
1306540800,8.3001
1306627200,8.4299
1306713600,8.800025000000002
1306800000,8.715455
1306886400,9.607497500000001
1306972800,10.643019999999998
1307059200,14.317785714285714
1307145600,18.64759333333334
1307232000,16.675
1307318400,18.37141428571429
1307404800,23.396988372093016
