time,price_eth
1439006400,0.7699807452931349
1439092800,0.719830109410067
1439179200,0.7007051824579207
1439265600,1.0883609568759975
1439352000,1.2140711147663539
1439438400,1.8432856832260898
1439524800,1.8333619024579544
1439611200,1.6744560982512584
1439697600,1.5699231049497122
1439784000,1.2078850916837387
1439870400,1.1425963795275509
1439956800,1.2542784169672243
1440043200,1.4612554447417359
1440129600,1.3885488373189303
1440216000,1.3832236793988648
1440302400,1.3492724880984817
1440388800,1.2321904366192855
1440475200,1.1460031949399714
1440561600,1.17194237490167
1440648000,1.154176305270667
1440734400,1.1759669076456307
1440820800,1.1808469543376594
1440907200,1.320643115957798
1440993600,1.3627563146497383
1441080000,1.3508067454179373
1441166400,1.2983478849768344
1441252800,1.255389442089516
1441339200,1.2739938325583802
1441425600,1.3338737062814294
1441512000,1.296629478421124
1441598400,1.246097814056274
1441684800,1.2547697084697307
1441771200,1.2132859286629896
1441857600,1.162838569211094
1441944000,0.9795247819820341
1442030400,1.0367052636290028
1442116800,0.926244233534571
1442203200,0.8712654853528724
1442289600,0.9425975714729812
1442376000,0.9015880746004954
1442462400,0.8816480974225018
1442548800,0.8551540039123371
1442635200,0.878273475694314
1442721600,0.9315143929618421
1442808000,0.9372445985075039
1442894400,0.8984269506765012
1442980800,0.8894895327261877
1443067200,0.8107056911285607
1443153600,0.7400367965186965
1443240000,0.796200656802998
1443326400,0.7289045691504621
1443412800,0.5765046573588073
1443499200,0.6602300456258537
1443585600,0.7412454591773446
1443672000,0.6789092910769519
1443758400,0.681038454908569
1443844800,0.6860427594268848
1443931200,0.6750175091175764
1444017600,0.6295696946875848
1444104000,0.6526873082068256
1444190400,0.6114806717403954
1444276800,0.6529078704255328
1444363200,0.6500276559424125
1444449600,0.6313832663958895
1444536000,0.6382321511977428
1444622400,0.6277789599707878
1444708800,0.6126859472071269
1444795200,0.5264634494070016
1444881600,0.5607659243292783
1444968000,0.5334815109186146
1445054400,0.5494025618093427
1445140800,0.522082689826535
1445227200,0.49107455400158295
1445313600,0.43568336612903513
1445400000,0.4533263897734901
1445486400,0.5684342994528612
1445572800,0.5446456657267741
1445659200,0.5644928386017534
1445745600,0.6193144771888653
1445832000,0.734326847745132
1445918400,0.8836603772324394
1446004800,1.0204039015536321
1446091200,1.2209157426429331
1446177600,1.0424567292638716
1446264000,0.9051878622665237
1446350400,1.0650702762335462
1446440400,1.002164018037469
1446526800,1.0134021789258856
1446613200,0.8866473512808236
1446699600,0.8912353618444517
1446786000,0.9352310325706227
1446872400,0.929919463147869
1446958800,1.0297346119213489
1447045200,0.9949840517089298
1447131600,0.9302331702268184
1447218000,0.7802928915828461
1447304400,0.8990907371339159
1447390800,0.9067317711991619
1447477200,0.8925098305198692
1447563600,0.9103290966286272
1447650000,0.9300079949605571
1447736400,1.0098476486518424
1447822800,0.9855366463413531
1447909200,0.9562450205472712
1447995600,0.9290613271958592
1448082000,0.976372929098174
1448168400,0.9659153456842073
1448254800,0.9473873416007431
1448341200,0.8991214693001718
1448427600,0.863500974786102
1448514000,0.8830610871772471
1448600400,0.8729466195164061
1448686800,0.9069558530515968
1448773200,0.8714582861155311
1448859600,0.8717843973121834
1448946000,0.8717654426749188
1449032400,0.8204353796389472
1449118800,0.8092850781296648
1449205200,0.8376179780292126
1449291600,0.8529478707796246
1449378000,0.8292768536938203
1449464400,0.8005838265481574
1449550800,0.8231969394533133
1449637200,0.7898287800871397
1449723600,0.8421724278041078
1449810000,0.940812377968065
1449896400,0.9762171727544678
1449982800,0.9564178911027972
1450069200,0.9893259675390642
1450155600,1.0082334487183475
1450242000,0.9921008715574334
1450328400,0.9456409283058286
1450414800,0.9185146965818222
1450501200,0.9002540985667757
1450587600,0.896121111282422
1450674000,0.8941536308799422
1450760400,0.8656947899680082
1450846800,0.8475960104708454
1450933200,0.8612166813658285
1451019600,0.8716603295469637
1451106000,0.8595890865100475
1451192400,0.8512278021226966
1451278800,0.8435028174273238
1451365200,0.8746302954090425
1451451600,0.9143760377430061
1451538000,0.9321089963293028
1451624400,0.9422848690038804
1451710800,0.9352310773519613
1451797200,0.9739000731639451
1451883600,0.9461480924825294
1451970000,0.9530695854880914
1452056400,0.9534490681183865
1452142800,0.9436030098200348
1452229200,0.9892095640817823
1452315600,0.9869234252575396
1452402000,1.0025728740434938
1452488400,1.0635513244628605
1452574800,1.167405297323936
1452661200,1.1233294040860424
1452747600,1.1921884812882009
1452834000,1.196404992871069
1452920400,1.2066829359526325
1453006800,1.3204537639131164
1453093200,1.41887108840012
1453179600,1.3575606035528547
1453266000,1.5313166480598597
1453352400,1.548060677239828
1453438800,1.5081428905079894
1453525200,1.9649792768168328
1453611600,2.155134787771359
1453698000,2.492803542870982
1453784400,2.261930684706117
1453870800,2.4031979563446773
1453957200,2.5291426450088004
1454043600,2.5153809130111098
1454130000,2.4359908377198662
1454216400,2.295792593081857
1454302800,2.2055583961341867
1454389200,2.4365960716892228
1454475600,2.520148543189505
1454562000,2.566421972227977
1454648400,2.523322576694688
1454734800,2.5235054892895294
1454821200,2.974746063871451
1454907600,3.1559825038245615
1454994000,4.024197177617309
1455080400,4.435410256958598
1455166800,6.061098394039962
1455253200,5.589237909962914
1455339600,5.3958894411045675
1455426000,5.269033114817769
1455512400,5.287231067852225
1455598800,4.320471953289193
1455685200,3.7570251773949663
1455771600,4.393861659582324
1455858000,4.714530070097653
1455944400,4.336591602720741
1456030800,4.644085134799437
1456117200,5.662682088649438
1456203600,5.592879762274616
1456290000,6.233300787069853
1456376400,6.072273526693668
